구별,소계,최근증가율,인구수,한국인,외국인,고령자,외국인비율,고령자비율,CCTV비율,오차
강남구,6871,73.79378717779247,537338,532577,4761,79575,0.8860344885342187,14.809114561039793,1.2787109789369075,2915.5764243242256
송파구,2897,151.4613778705637,668261,662607,5654,99854,0.8460766077924644,14.9423653333054,0.43351325305531824,1607.560987425224
강서구,2744,121.11468381564845,578426,573046,5380,93924,0.9301103339061522,16.237859294015138,0.47439084688447614,1383.7611937716129
노원구,2492,128.53185595567865,514445,510486,3959,89426,0.7695672034911409,17.38300498595574,0.48440552440008167,1367.4022290278963
관악구,5149,58.568548387096776,500336,486375,13961,80686,2.7903249016660805,16.126363084007547,1.0291084391289054,1348.7759118822032
구로구,4608,102.0679468242245,419984,396017,23967,73864,5.706645967465427,17.58733666044421,1.0971846546535107,1144.8006463359802
도봉구,1930,208.22784810126583,318100,316098,2002,65122,0.6293618359006601,20.472178560201197,0.6067274441999371,1105.8617883876286
동작구,2306,92.35436893203884,394649,386017,8632,67470,2.187260071607935,17.09620447536925,0.5843166966088853,1050.9353944920458
성북구,4602,58.31561037856231,442680,433150,9530,75719,2.1527966025119727,17.104680581910184,1.0395771211710492,1043.6055874306276
성동구,3829,76.05375687232743,291609,285073,6536,46896,2.241357434098399,16.081808174644816,1.3130596106430186,904.2508440349002
강동구,2809,144.60093896713616,465097,461300,3797,75477,0.8163888393173897,16.22822766003651,0.6039600341434153,843.4192467023167
마포구,2496,74.0953947368421,378629,368331,10298,55168,2.7198127982801106,14.570463435183253,0.6592205034479662,793.7418430440484
영등포구,4056,128.26622843056697,400241,376740,23501,63547,5.87171229334326,15.877183996642023,1.013389432866698,675.6097778114995
서초구,4082,67.68603465851172,413677,409823,3854,61404,0.9316447373192128,14.843464828839892,0.9867602017999552,645.2544371588592
종로구,1715,60.40462427745664,153684,144275,9409,28064,6.122302907264256,18.26084693266703,1.1159261862002552,631.2428773468064
동대문구,2628,36.283672347443655,352592,337982,14610,62963,4.143599401007396,17.857183373417435,0.745337387121659,552.5334473479488
은평구,4131,113.99874450721907,476013,472259,3754,88418,0.7886339238634238,18.574702791730477,0.8678334415236558,432.79518478293085
중랑구,3737,504.356846473029,393600,389043,4557,72851,1.1577743902439024,18.508892276422763,0.9494410569105691,384.46448287805106
금천구,2411,106.91244239631337,244901,231098,13803,41819,5.636155017741864,17.075879641161123,0.9844794427135863,317.8392682601643
강북구,3090,328.4649776453055,300824,297384,3440,64961,1.1435257825173524,21.594354173869107,1.027178682551924,126.59987171322064
용산구,2611,148.8372093023256,236518,222169,14349,39461,6.06676870259346,16.684142433134053,1.1039328930567651,82.67799848559707
양천구,3650,55.984766050054404,449378,446182,3196,69953,0.7112052659453734,15.566627649773688,0.8122337987173381,63.51180418476679
광진구,3211,129.36241610738256,353110,340707,12403,52604,3.512503185976042,14.897340771997394,0.90934836170032,28.293877268151846
서대문구,3055,104.90196078431373,317075,305866,11209,55012,3.5351257588898526,17.349838366317115,0.9634944413782228,23.43742448591729
